session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,efficiency_score,ram_efficiency,high_ram_usage,anomaly_score,is_anomaly
56,139.681278,7,2,2,0,8,6982.07,6982.07,42.8,997.4385714285714,3491.035,2327.3566666666666,9,0.057273244593309,0.0011457920072414,True,0.0016119312118169761,False
57,73.550893,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,0.0407880839733652,0.0004296720027155,True,0.0020217678898149026,False
58,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0.0004470827423434602,False
59,3.604349,2,2,2,2,4,6982.07,6982.07,42.8,3491.035,3491.035,2327.3566666666666,6,1.1097704467575142,0.0005728960036207,True,0.0032146590098184645,False
91,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0.0004470827423434602,False
92,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.0002864480018103,True,0.0004470827423434602,False
93,7.325255,3,3,2,1,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,2327.3566666666666,2327.3566666666666,6,0.6825700948294633,0.0007161200045258,True,0.013286925729115816,False
94,120.350102,4,2,3,1,6,6982.07,6982.07,42.8,1745.5175,3491.035,1745.5175,8,0.0498545485237727,0.000859344005431,True,0.0018197743174361034,False
95,1.0,1,1,1,1,3,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,3,3.0,0.0004296720027155,True,0.0011665495128092597,False
96,45.373265,3,2,3,1,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,1745.5175,7,0.1101970510607953,0.0007161200045258,True,0.0030500536237366644,False
97,138.213076,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,0.0217056163340145,0.0004296720027155,True,0.003285563049355859,False
