session_id,session_length,pages_visited,unique_domains,domain_switches,category_switches,session_complexity,avg_ram,peak_ram,avg_cpu,ram_per_page,ram_per_domain,ram_per_switch,session_intensity,efficiency_score,ram_efficiency,high_ram_usage
59,3.604349,2,2,2,2,4,6982.07,6982.07,42.8,3491.035,3491.035,2327.3566666666666,6,1.1097704467575142,0.0005728960036207027,True
91,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.00028644800181035137,True
92,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.00028644800181035137,True
93,7.325255,3,3,2,1,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,2327.3566666666666,2327.3566666666666,6,0.6825700948294633,0.0007161200045258785,True
94,120.350102,4,2,3,1,6,6982.07,6982.07,42.8,1745.5175,3491.035,1745.5175,8,0.049854548523772746,0.0008593440054310541,True
95,1.0,1,1,1,1,3,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,3,3.0,0.00042967200271552705,True
96,45.373265,3,2,3,1,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,1745.5175,7,0.11019705106079537,0.0007161200045258785,True
97,138.213076,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,0.02170561633401459,0.00042967200271552705,True
98,127.628506,6,1,1,1,8,6982.07,6982.07,42.79999999999999,1163.6783333333333,6982.07,3491.035,8,0.0626819215450191,0.0011457920072414055,True
99,154.140181,14,2,2,1,16,6982.07,6982.07,42.8,498.7192857142857,3491.035,2327.3566666666666,17,0.10380161678933021,0.002291584014482811,True
100,17.571242,2,1,1,1,4,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,4,0.22764469352820932,0.0005728960036207027,True
101,1.499143,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,2.0011433198834268,0.00042967200271552705,True
102,314.281855,4,1,0,0,4,6982.07,6982.07,42.8,1745.5175,6982.07,6982.07,4,0.012727429014315828,0.0005728960036207027,True
71,654.450273,6,3,5,0,7,6982.07,6982.07,42.79999999999999,1163.6783333333333,2327.3566666666666,1163.6783333333333,11,0.010695999816627779,0.0010025680063362298,True
72,4.506744,2,1,1,0,3,6982.07,6982.07,42.8,3491.035,6982.07,3491.035,3,0.6656690506494267,0.00042967200271552705,True
73,143.799859,5,1,1,1,7,6982.07,6982.07,42.8,1396.414,6982.07,3491.035,7,0.048678768175982705,0.0010025680063362298,True
74,1.0,1,1,1,1,3,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,3,3.0,0.00042967200271552705,True
106,1.0,1,1,1,0,2,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,2,2.0,0.00028644800181035137,True
107,56.88496,4,3,4,0,5,6982.07,6982.07,42.8,1745.5175,2327.3566666666666,1396.414,8,0.08789669536552368,0.0007161200045258785,True
108,1.0,1,1,0,0,1,6982.07,6982.07,42.8,6982.07,6982.07,6982.07,1,1.0,0.00014322400090517568,True
109,108.509824,7,3,3,2,9,6982.07,6982.07,42.8,997.4385714285714,2327.3566666666666,1745.5175,12,0.08294179889186808,0.0012890160081465813,True
110,1.0,1,1,1,1,3,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,3,3.0,0.00042967200271552705,True
111,1.0,1,1,1,1,3,6982.07,6982.07,42.8,6982.07,6982.07,3491.035,3,3.0,0.00042967200271552705,True
112,4.075917,3,2,2,1,5,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,6,1.2267178158927183,0.0007161200045258785,True
114,18.123737,2,1,0,0,2,6982.07,6982.07,42.8,3491.035,6982.07,6982.07,2,0.1103525172540299,0.00028644800181035137,True
115,42.231543,3,2,2,0,4,6982.07,6982.07,42.79999999999999,2327.3566666666666,3491.035,2327.3566666666666,5,0.09471593306453424,0.0005728960036207027,True
