session_id,session_duration,pages_visited,domain_switches,category_switches,complexity,engagement,dominant_category
590,11.815147,6,4,1,16,high,other
591,14.850757,4,1,1,8,medium,other
592,1.0,2,0,0,2,low,other
593,54.450274,3,1,1,7,medium,search
594,19.166599,2,1,1,6,medium,other
595,666.73447,26,15,8,72,high,search
596,1426.488678,20,16,13,78,high,search
597,157.131303,11,5,5,31,high,search
598,3277.9079,57,14,11,107,high,other
599,2039.409479,35,13,12,85,high,other
600,1564.593494,32,8,2,52,high,search
601,933.141319,18,2,2,26,high,search
602,540.65749,31,1,1,35,high,search
603,1.0,1,0,0,1,low,search
604,50.450035,9,2,1,15,high,search
605,1.0,1,0,0,1,low,search
606,1.0,4,3,2,14,medium,other
607,1.0,1,0,0,1,low,other
608,1239.67816,27,12,9,69,high,search
609,1347.059595,10,5,3,26,high,other
610,656.624904,4,1,0,6,medium,search
611,2283.213738,45,19,12,107,high,other
612,142.527432,6,2,0,10,medium,other
613,57.968604,7,0,0,7,medium,search
614,952.052271,18,5,5,38,high,other
615,410.749351,12,3,0,18,high,other
616,1383.88519,34,15,7,78,high,search
617,51.737665,3,0,0,3,low,search
618,1541.457881,62,16,11,116,high,search
619,502.928376,13,1,1,17,high,search
620,1.0,1,0,0,1,low,search
621,88.673304,10,1,1,14,medium,entertainment
622,1558.711193,14,5,5,34,high,search
623,60.614075,6,2,1,12,medium,other
624,1306.513283,36,18,14,100,high,search
625,225.029153,23,10,7,57,high,search
626,881.690322,34,2,2,42,high,search
627,191.464278,9,5,5,29,high,other
628,9.45322,3,1,1,7,medium,search
629,1.0,3,1,1,7,medium,search
630,196.78525,7,2,2,15,high,search
631,1.0,1,0,0,1,low,other
632,1.0,1,0,0,1,low,other
633,328.083014,25,8,8,57,high,search
634,1.0,2,0,0,2,low,shopping
635,80.286272,2,0,0,2,low,search
636,399.381585,5,2,1,11,medium,other
637,111.930836,5,4,2,17,high,other
638,1990.41552,29,0,0,29,high,other
639,1.0,1,0,0,1,low,other
640,25.156649,4,2,2,12,medium,other
641,13.916382,2,0,0,2,low,search
642,706.150667,6,1,1,10,medium,learning
643,1.0,1,0,0,1,low,other
644,2164.071821,8,1,1,12,medium,other
645,1.0,3,1,1,7,medium,search
646,1206.726554,15,3,3,27,high,learning
647,482.037228,7,3,3,19,high,search
648,1401.896006,54,28,19,148,high,search
